,Country,Date,Confirmed,Active,Deaths,Recovered
587,Costa Rica,3/12/20,22,22,0,0
588,Costa Rica,3/13/20,23,23,0,0
589,Costa Rica,3/14/20,26,26,0,0
590,Costa Rica,3/15/20,27,27,0,0
591,Costa Rica,3/16/20,35,35,0,0
592,Costa Rica,3/17/20,41,41,0,0
593,Costa Rica,3/18/20,50,50,0,0
594,Costa Rica,3/19/20,69,68,1,0
595,Costa Rica,3/6/20,1,1,0,0
596,Costa Rica,3/7/20,1,1,0,0
597,Costa Rica,3/8/20,5,5,0,0
598,Costa Rica,3/9/20,9,9,0,0
599,Croatia,2/25/20,1,1,0,0
600,Croatia,2/26/20,3,3,0,0
601,Croatia,2/27/20,3,3,0,0
602,Croatia,2/28/20,5,5,0,0
603,Croatia,2/29/20,6,6,0,0
604,Croatia,3/1/20,7,7,0,0
605,Croatia,3/10/20,14,14,0,0
606,Croatia,3/11/20,19,19,0,0
607,Croatia,3/12/20,19,19,0,0
608,Croatia,3/13/20,32,31,0,1
609,Croatia,3/14/20,38,37,0,1
610,Croatia,3/15/20,49,48,0,1
611,Croatia,3/16/20,57,55,0,2
612,Croatia,3/17/20,65,61,0,4
613,Croatia,3/18/20,81,77,0,4
614,Croatia,3/19/20,105,99,1,5
615,Croatia,3/2/20,7,7,0,0
616,Croatia,3/3/20,9,9,0,0
617,Croatia,3/4/20,10,10,0,0
618,Croatia,3/5/20,10,10,0,0
619,Croatia,3/6/20,11,11,0,0
620,Croatia,3/7/20,12,12,0,0
621,Croatia,3/8/20,12,12,0,0
622,Croatia,3/9/20,12,12,0,0
623,Cuba,3/12/20,3,3,0,0
624,Cuba,3/13/20,4,4,0,0
625,Cuba,3/14/20,4,4,0,0
626,Cuba,3/15/20,4,4,0,0
627,Cuba,3/16/20,4,4,0,0
628,Cuba,3/17/20,5,5,0,0
629,Cuba,3/18/20,7,6,1,0
630,Cuba,3/19/20,11,10,1,0
631,Czechia,3/1/20,3,3,0,0
632,Czechia,3/10/20,41,41,0,0
633,Czechia,3/11/20,91,91,0,0
634,Czechia,3/12/20,94,94,0,0
635,Czechia,3/13/20,141,141,0,0
636,Czechia,3/14/20,189,189,0,0
637,Czechia,3/15/20,253,253,0,0
